Province,Sex,Age,year_month,Deaths,year,month,Population,mort_rate,MortRate_per100k,MortRate_per1000,prec,tmax90_flag_hot_10,tmax90_flag_hot_30,tmax90_flag_hot_50,tmax90_flag_hot_70,tmax90_flag_hot_90,tmax95_flag_hot_10,tmax95_flag_hot_30,tmax95_flag_hot_50,tmax95_flag_hot_70,tmax95_flag_hot_90,tmed90_flag_hot_10,tmed90_flag_hot_30,tmed90_flag_hot_50,tmed90_flag_hot_70,tmed90_flag_hot_90,tmed95_flag_hot_10,tmed95_flag_hot_30,tmed95_flag_hot_50,tmed95_flag_hot_70,tmed95_flag_hot_90,hmax90_flag_hot_10,hmax90_flag_hot_30,hmax90_flag_hot_50,hmax90_flag_hot_70,hmax90_flag_hot_90,hmax95_flag_hot_10,hmax95_flag_hot_30,hmax95_flag_hot_50,hmax95_flag_hot_70,hmax95_flag_hot_90,hmed90_flag_hot_10,hmed90_flag_hot_30,hmed90_flag_hot_50,hmed90_flag_hot_70,hmed90_flag_hot_90,hmed95_flag_hot_10,hmed95_flag_hot_30,hmed95_flag_hot_50,hmed95_flag_hot_70,hmed95_flag_hot_90,tmax90_flag_hot_10_hw,tmax90_flag_hot_30_hw,tmax90_flag_hot_50_hw,tmax90_flag_hot_70_hw,tmax90_flag_hot_90_hw,tmax95_flag_hot_10_hw,tmax95_flag_hot_30_hw,tmax95_flag_hot_50_hw,tmax95_flag_hot_70_hw,tmax95_flag_hot_90_hw,tmed90_flag_hot_10_hw,tmed90_flag_hot_30_hw,tmed90_flag_hot_50_hw,tmed90_flag_hot_70_hw,tmed90_flag_hot_90_hw,tmed95_flag_hot_10_hw,tmed95_flag_hot_30_hw,tmed95_flag_hot_50_hw,tmed95_flag_hot_70_hw,tmed95_flag_hot_90_hw,hmax90_flag_hot_10_hw,hmax90_flag_hot_30_hw,hmax90_flag_hot_50_hw,hmax90_flag_hot_70_hw,hmax90_flag_hot_90_hw,hmax95_flag_hot_10_hw,hmax95_flag_hot_30_hw,hmax95_flag_hot_50_hw,hmax95_flag_hot_70_hw,hmax95_flag_hot_90_hw,hmed90_flag_hot_10_hw,hmed90_flag_hot_30_hw,hmed90_flag_hot_50_hw,hmed90_flag_hot_70_hw,hmed90_flag_hot_90_hw,hmed95_flag_hot_10_hw,hmed95_flag_hot_30_hw,hmed95_flag_hot_50_hw,hmed95_flag_hot_70_hw,hmed95_flag_hot_90_hw,Tmean,Tmin,Tmax,WindMean,WindGustMax,RHmean,RHmax,RHmin,Tmax_thr90,Tmax_thr95,Tmean_thr90,Tmean_thr95,Tmax90th,Tmax95th,Tmean90th,Tmean95th,Tmax_ref_decile,Tmean_ref_decile,Tmax_D1,Tmax_D2,Tmax_D3,Tmax_D4,Tmax_D5,Tmax_D6,Tmax_D7,Tmax_D8,Tmax_D9,Tmax_D10,Tmean_D1,Tmean_D2,Tmean_D3,Tmean_D4,Tmean_D5,Tmean_D6,Tmean_D7,Tmean_D8,Tmean_D9,Tmean_D10,Hmean_ref_decile,RHmean_D1,RHmean_D2,RHmean_D3,RHmean_D4,RHmean_D5,RHmean_D6,RHmean_D7,RHmean_D8,RHmean_D9,RHmean_D10,RHmean_thr90,RHmean_thr95,RHmax_thr90,RHmax_thr95,RHmean90th,RHmean95th,RHmax90th,RHmax95th,tmax_90intensity,tmax_95intensity,tmed_90intensity,tmed_95intensity,hmax_90intensity,hmax_95intensity,hmed_90intensity,hmed_95intensity,Tmax90th_p10,Tmax95th_p10,Tmean90th_p10,Tmean95th_p10,RHmean90th_p10,RHmean95th_p10,RHmax90th_p10,RHmax95th_p10
CORDOBA,Both sexes,50-54,2017-03-01,19.0,2017,3,62101,0.0003059532052623,30.59532052623951,0.3059532052623951,62.73190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,7.0,6.0,4.0,3.0,2.0,5.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,12.603472763795343,6.278473354602387,18.92463192721257,2.543778801843318,9.555246366536688,65.87795108117689,90.97974713458584,44.96327543424317,36.17133640552995,37.917115207373264,27.4745069124424,29.010792626728108,0.0,0.0,0.0,0.0,3.8745952971759423,3.7979203592106816,0.1705069124423963,0.093394777265745,0.110752688172043,0.145468509984639,0.3032258064516129,0.1225806451612903,0.0494623655913978,0.0,0.0,0.0,0.1221198156682027,0.1331797235023041,0.0927803379416282,0.2032258064516129,0.3666666666666666,0.064516129032258,0.0129032258064516,0.0,0.0,0.0,6.8251683800070895,0.0021505376344086,0.0193548387096774,0.0279569892473118,0.075268817204301,0.1655913978494623,0.1483870967741935,0.1849462365591397,0.1247311827956989,0.1010752688172042,0.1393241167434716,83.27502304147465,88.61064516129032,97.91004608294934,98.357465437788,0.1393241167434716,0.0937019969278033,0.0958525345622119,0.0582181259600614,0.0,0.0,0.0,0.0,0.1409382015833606,0.0629280397022327,1.1454933238804208,0.464244948599789,0.0,0.0,0.0,0.0,1.3932411674347158,0.937019969278033,0.958525345622119,0.582181259600614
HUESCA,Male,0-4,2018-06-01,,2018,6,4662,,,,94.2512187088274,6.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.41163647342995,12.869788647342997,25.94957125603865,2.306772068511199,8.943059790451095,62.47663043478261,90.0106884057971,44.318961352657006,31.455832125603862,33.59862620772947,23.55815096618357,25.23571678743961,0.0652777777777777,0.0055555555555555,0.1027777777777777,0.0013888888888888,7.596074879227053,7.955917874396135,0.0,0.0,0.0097222222222222,0.0263888888888888,0.0653381642512077,0.1487922705314009,0.2051328502415459,0.1557367149758453,0.3208333333333333,0.0652777777777777,0.0,0.0,0.0,0.0,0.0263888888888888,0.0782608695652173,0.282427536231884,0.2393115942028985,0.2680555555555555,0.1027777777777777,5.386956521739131,0.0430555555555555,0.0680555555555555,0.1499999999999999,0.1544082125603864,0.1604468599033816,0.1013888888888888,0.0760265700483091,0.0969202898550724,0.0745772946859903,0.073731884057971,85.22211352657006,90.90071256038644,98.19794685990335,98.92714975845408,0.073731884057971,0.0264492753623188,0.0181763285024154,0.0056159420289855,0.0569378019323671,0.0033611111111111,0.058546497584541,0.0005555555555555,0.0210748792270531,0.0070048309178743,0.3295289855072461,0.0846618357487922,0.652777777777777,0.055555555555555,1.027777777777777,0.013888888888888,0.73731884057971,0.264492753623188,0.181763285024154,0.056159420289855
ILLES BALEARS,Female,65-69,2017-07-01,14.0,2017,7,26446,0.0005293806246691,52.93806246691371,0.5293806246691372,6.862184873949579,22.0,19.0,10.0,9.0,3.0,12.0,8.0,6.0,3.0,0.0,23.0,18.0,13.0,12.0,4.0,12.0,9.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,7.0,7.0,3.0,10.0,4.0,4.0,3.0,0.0,23.0,17.0,13.0,10.0,3.0,10.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4465200413208,19.977391534934227,30.915428308492825,3.0412962043929785,8.978005698005697,61.89764615523629,89.74216973201793,44.53534271968807,31.37638920717953,32.82592989648636,25.84466391968005,26.92553430965528,0.4085205020688891,0.2032140435366241,0.4666133875811294,0.1802286157124866,9.13644631348616,9.224415782005916,0.0,0.0,0.0,0.0,0.0,0.0089605734767025,0.040104620749782,0.1662376662376662,0.3621545508642282,0.4085205020688891,0.0,0.0,0.0,0.0,0.0,0.0053763440860215,0.0492831541218638,0.1313599313599313,0.3288876434037724,0.4666133875811294,3.486864305839638,0.1644123386058869,0.2364975574652994,0.1580278435117144,0.1148918503757213,0.1106779590650558,0.0676402208660272,0.0475408588311813,0.029933158965417,0.0185023733410829,0.0061997481352319,85.06061986084757,88.17909234661606,97.98581819824706,98.68135741393333,0.0061997481352319,0.0035357938583744,0.000871839581517,0.0,0.7856660093272996,0.3147392057956577,0.5520523636946781,0.1757751242025437,0.0009216589861751,0.0,0.0213635131471943,0.0075064004096262,4.085205020688891,2.032140435366241,4.666133875811294,1.802286157124866,0.061997481352319,0.035357938583744,0.00871839581517,0.0
NAVARRA,Both sexes,All ages,2017-01-01,692.0,2017,1,643234,0.0010758137785005,107.58137785005148,1.0758137785005146,152.536494794298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,13.0,9.0,3.0,0.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.091982356119804,-0.4203285914646363,8.600726975222067,2.59474752266498,9.621340659919882,73.60308616115069,91.81467672112834,56.40937166964332,29.476333339404867,31.59776221441018,21.836306563936297,23.52943182577124,0.002932551319648,0.001466275659824,0.002932551319648,0.001466275659824,1.966883420459858,1.8429215011262696,0.4545515260802778,0.3010024103993248,0.1347880730769931,0.0542521994134897,0.0219941348973606,0.0086701517276552,0.0044686496299399,0.002932551319648,0.001466275659824,0.002932551319648,0.5738936145668264,0.2110829796664298,0.0878338585210955,0.0688512048960856,0.0249266862170087,0.0072676271834757,0.0043988269794721,0.0044048985142954,0.001466275659824,0.002932551319648,5.977887166596844,0.1009878387157489,0.0787386993558101,0.0772906383004559,0.0679192243007109,0.0837932520961973,0.0848071984116864,0.0877913577773324,0.085177562035907,0.1125905417630522,0.1645416294785158,88.70452520597682,92.3258137829912,98.45009844993716,98.90707827119118,0.1645416294785158,0.0780951166645416,0.0728037740660461,0.0393981894683156,0.0038123167155425,0.000733137829912,0.002932551319648,0.0012096774193548,0.1331999720709396,0.0658287948610529,0.8588046362239912,0.3395196201647831,0.02932551319648,0.01466275659824,0.02932551319648,0.01466275659824,1.645416294785158,0.780951166645416,0.728037740660461,0.393981894683156
CACERES,Male,35-39,2017-03-01,1.0,2017,3,13910,7.189072609633358e-05,7.1890726096333575,0.0718907260963335,51.07130085750776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,2.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,11.6820832671222,6.059995232798348,17.304373907516286,2.792878477555897,10.22820447175286,65.66682704474695,86.80456533126166,47.788649645991136,34.50161012235818,36.13682305736532,26.59953877324011,28.23035575242332,0.0,0.0,0.0,0.0,3.970602256475449,3.8286588272683937,0.1813125695216907,0.0672969966629588,0.1004687748291752,0.179286508819323,0.2391546162402669,0.1713014460511679,0.0556173526140155,0.0,0.0,0.0,0.1846496106785317,0.0624503416494517,0.1197362148418878,0.161488955982838,0.3270697600508501,0.1167964404894327,0.0222469410456062,0.0,0.0,0.0,6.715289180806423,0.0155728587319243,0.0200222469410456,0.0522803114571746,0.0812013348164627,0.1434927697441601,0.1345939933259176,0.1379310344827586,0.1245828698553948,0.177101541395201,0.1020975687271571,86.71231527093595,92.12658509454953,98.4833147942158,99.09205863658032,0.1020975687271571,0.0384554266645479,0.0703559510567296,0.0278881296678849,0.0,0.0,0.0,0.0,0.0927397284460688,0.0258844336152459,0.5233195614174481,0.1119239631336408,0.0,0.0,0.0,0.0,1.020975687271571,0.384554266645479,0.7035595105672959,0.278881296678849
ARABA/ALAVA,Male,65-69,2017-03-01,13.0,2017,3,8845,0.0014697569248162,146.97569248162804,1.4697569248162805,64.07083333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.047043010752688,4.121326164874552,15.9709229390681,2.864086021505376,10.92225806451613,70.04032258064517,93.9462365591398,49.69041218637993,28.851935483870967,31.204119623655924,21.2082123655914,22.8036559139785,0.0,0.0,0.0,0.0,4.755376344086021,4.369175627240144,0.050179211469534,0.1469534050179211,0.1075268817204301,0.1326164874551971,0.1684587813620071,0.1827956989247311,0.1124551971326165,0.0591397849462365,0.0398745519713261,0.0,0.057347670250896,0.1290322580645161,0.1290322580645161,0.1505376344086021,0.2688172043010752,0.1657706093189964,0.0698924731182795,0.0295698924731182,0.0,0.0,4.434587813620072,0.1335125448028673,0.1626344086021505,0.1370967741935483,0.1187275985663082,0.1218637992831541,0.0967741935483871,0.075268817204301,0.060931899641577,0.046594982078853,0.046594982078853,89.88440860215053,93.0,99.5537634408602,99.66532258064518,0.046594982078853,0.025089605734767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1935483870967742,0.057347670250896,0.0,0.0,0.0,0.0,0.46594982078853,0.25089605734767,0.0,0.0
SORIA,Male,5-9,2019-11-01,,2019,11,1865,,,,106.53030303030305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,14.0,12.0,7.0,3.0,12.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.036666666666666,2.748568376068376,9.320320512820512,5.103272727272727,14.460727272727272,83.10213675213676,94.97008547008546,68.791452991453,30.4815576923077,32.47850961538461,21.397777777777776,23.032273504273505,0.0,0.0,0.0,0.0,2.407692307692308,3.1106837606837607,0.2769230769230769,0.323076923076923,0.2,0.1282051282051282,0.0589743589743589,0.0128205128205128,0.0,0.0,0.0,0.0,0.2023504273504273,0.254059829059829,0.1384615384615384,0.1538461538461538,0.1794871794871795,0.023076923076923,0.0461538461538461,0.0,0.0,0.0,8.944871794871796,0.0,0.0,0.0,0.0,0.0025641025641025,0.0205128205128205,0.0615384615384615,0.2307692307692307,0.3102564102564102,0.3717948717948717,85.33940170940171,89.46004273504273,97.22863247863248,98.14763888888888,0.3717948717948717,0.1572649572649572,0.0952991452991452,0.0155982905982905,0.0,0.0,0.0,0.0,0.1211538461538461,0.0157264957264956,1.5927777777777783,0.4119658119658119,0.0,0.0,0.0,0.0,3.717948717948717,1.572649572649572,0.952991452991452,0.1559829059829049
AVILA,Female,5-9,2017-10-01,,2017,10,3209,,,,14.898888888888887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.484121863799285,7.575376344086021,23.393118279569894,1.994444444444445,7.865340501792114,49.23566308243728,76.01039426523297,30.382437275985662,31.08609318996416,32.854946236559144,22.387240143369176,24.040501792114696,0.0,0.0,0.0064516129032258,0.0,6.887096774193548,6.701075268817204,0.0,0.0064516129032258,0.0258064516129032,0.0591397849462365,0.1204301075268817,0.1333333333333333,0.196774193548387,0.3419354838709677,0.1161290322580645,0.0,0.0,0.0,0.0096774193548387,0.0903225806451612,0.1344086021505376,0.1494623655913978,0.2903225806451613,0.2290322580645161,0.0903225806451612,0.0064516129032258,4.131541218637993,0.1741935483870967,0.132258064516129,0.1419354838709677,0.1096774193548387,0.132258064516129,0.064516129032258,0.0971326164874551,0.0598566308243727,0.0301075268817204,0.0290322580645161,84.30465949820788,89.07240143369174,97.6021505376344,98.59856630824372,0.0290322580645161,0.0161290322580645,0.0290322580645161,0.0064516129032258,0.0,0.0,0.0077419354838709,0.0,0.0290322580645161,0.0064516129032258,0.1774193548387097,0.0545161290322583,0.0,0.0,0.064516129032258,0.0,0.290322580645161,0.161290322580645,0.290322580645161,0.064516129032258
LAS PALMAS,Female,90+,2017-12-01,83.0,2017,12,3987,0.0208176573865061,2081.765738650615,20.817657386506145,37.03563706563707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,4.0,3.0,1.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,16.461758002241872,13.455458961265414,19.468832565284178,3.7162005662480047,10.911594872553126,64.56212511582531,81.2889400921659,48.18642811963495,28.118638477186867,29.855538603119246,24.17364816429333,25.5270895088637,0.000871839581517,0.000871839581517,0.0,0.0,2.490802092414996,2.586851828787313,0.2860602538021892,0.2889179502082727,0.2000629661919984,0.1048629274435725,0.062772449869224,0.026542671703962,0.0088637024120895,0.0026639542768575,0.0,0.000871839581517,0.2265329845975007,0.285067325389906,0.2356388646711227,0.1532984597500726,0.062578707739998,0.016758694178049,0.000871839581517,0.0,0.000871839581517,0.0,4.572155093312589,0.1864283638477186,0.1439504020149181,0.119442022667829,0.0860457231424973,0.076431269979657,0.0720478543059187,0.0669863411798895,0.053666569795602,0.0642981691368787,0.0982756950498885,79.76666182311344,82.38116826503924,92.15601382488478,93.5253840245776,0.0982756950498885,0.070037779715199,0.1006732538990603,0.0662355904291387,0.0013709677419354,0.000268817204301,0.0,0.0,0.3264763109544887,0.1765632059275323,0.642508203513896,0.3893885889142061,0.00871839581517,0.00871839581517,0.0,0.0,0.9827569504988852,0.70037779715199,1.006732538990603,0.6623559042913869
MALAGA,Both sexes,60-64,2019-09-01,55.0,2019,9,96424,0.0005703974114328,57.03974114328383,0.5703974114328383,47.52683982683983,8.0,4.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,9.0,6.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,23.66283926218709,19.220144927536232,28.107444005270093,2.126438596491228,7.85319298245614,65.58679653679653,84.89145021645022,49.587720057720055,31.20977272727273,32.91834683794466,25.970787220026352,27.129638010540184,0.0942687747035573,0.0348484848484848,0.1000658761528326,0.0405797101449275,7.968774703557313,8.184519104084321,0.0,0.0,0.0,0.0,0.0072463768115941,0.0930171277997364,0.2353096179183135,0.3395915678524374,0.2204216073781291,0.0942687747035573,0.0,0.0,0.0,0.0,0.0,0.0277997364953886,0.2206192358366271,0.3833333333333332,0.2580368906455862,0.1000658761528326,6.04033189033189,0.0572463768115941,0.0745059288537549,0.07832674571805,0.0942028985507246,0.0913043478260869,0.108695652173913,0.0956521739130434,0.1246376811594202,0.1260869565217391,0.1028985507246376,80.0926406926407,84.11243867243866,94.22604617604615,95.57660173160173,0.1028985507246376,0.0376811594202898,0.0434782608695652,0.0144927536231883,0.121284584980237,0.0336343873517787,0.1005895915678524,0.0310645586297762,0.0874242424242424,0.0301515151515152,0.3651515151515151,0.0913564213564215,0.942687747035573,0.348484848484848,1.000658761528326,0.405797101449275,1.028985507246376,0.376811594202898,0.434782608695652,0.144927536231883
